,profit (Mn),gen (TWh),RSI,MI,LI,OG
seed_820,1.2234321241378785,25.5,-0.9041449916945674,0.5833333333333334,0.6643099974234029,0.3020833333333333
seed_296,1.2222417640686034,25.5,-0.903904586172603,0.5833333333333334,0.6637224430716478,0.3020833333333333
seed_54,1.259335235595703,32.0,-0.9573587739245436,0.5,0.6572460089172903,0.16666666666666666
seed_542,1.2236614079475403,25.5,-0.9038276267152444,0.5833333333333334,0.6641590760164723,0.3020833333333333
seed_209,1.318590482711792,29.5,-0.9602385723910299,0.7083333333333334,0.6589570357183184,0.21875
seed_604,1.19146613073349,37.0,-0.9770556456586605,0.20833333333333334,0.6150025778877743,0.0625
seed_692,1.3286408743858338,29.5,-0.9625558758209063,0.7083333333333334,0.6619157299025377,0.21875
seed_662,1.2245636644363402,25.5,-0.9041997099643103,0.5833333333333334,0.664745615884202,0.3020833333333333
seed_866,1.20043403506279,27.5,-0.886657963655155,0.625,0.5868377985954805,0.23958333333333334
seed_70,1.222913423538208,25.5,-0.9037984332907085,0.5833333333333334,0.663878883047067,0.3020833333333333
seed_543,1.2437120532989503,33.0,-0.9577357246484804,0.4166666666666667,0.6585540849710128,0.14583333333333334
seed_107,1.311177686691284,28.5,-0.9399281643713294,0.7083333333333334,0.6647710135691692,0.23958333333333334
seed_493,1.3129605317115784,30.0,-0.9607387906565461,0.6666666666666666,0.6609372248190295,0.20833333333333334
seed_590,1.3135361680984496,29.5,-0.953090801529076,0.75,0.6529745673270104,0.21875
seed_741,1.2370276494026184,27.5,-0.9044716546544392,0.6666666666666666,0.6080948612024664,0.2604166666666667
seed_292,1.1955198154449462,37.0,-0.9799125616913831,0.20833333333333334,0.6460145423120457,0.0625
seed_289,1.22323011302948,25.5,-0.9041688797273878,0.5833333333333334,0.6642570292266237,0.3020833333333333
seed_652,1.2087410774230958,37.0,-0.9770785121729242,0.20833333333333334,0.6099968532761453,0.0625
seed_39,1.2323777761459351,26.5,-0.9042181203773371,0.625,0.6345108825457954,0.28125
seed_589,1.201953143119812,37.0,-0.9786466146072899,0.20833333333333334,0.6507440735584449,0.0625
seed_307,1.2221501269340516,25.5,-0.9038674125177505,0.5833333333333334,0.6636640366455063,0.3020833333333333
seed_679,1.2351602311134338,27.5,-0.9043236400468004,0.6666666666666666,0.6050575419510771,0.2604166666666667
seed_66,1.3135822548866272,30.0,-0.9609797486874306,0.6666666666666666,0.6612145543141768,0.20833333333333334
seed_275,1.2936408076286317,28.5,-0.9396790843874024,0.7083333333333334,0.6609570133947817,0.23958333333333334
seed_67,1.3519473910331725,31.5,-0.9675706307723533,0.7916666666666666,0.6176918580852021,0.17708333333333334
seed_318,1.2060602087974548,27.5,-0.8860929519279965,0.625,0.6025929286695567,0.23958333333333334
seed_548,1.1954058322906493,37.0,-0.979772571884102,0.20833333333333334,0.6458142973074377,0.0625
seed_998,1.2836975870132445,31.0,-0.958033003652865,0.5833333333333334,0.6585095263170062,0.1875
seed_714,1.2912303214073182,28.5,-0.9391399902867473,0.7083333333333334,0.6602936454190084,0.23958333333333334
seed_753,1.222207200050354,25.5,-0.9035645003062079,0.5833333333333334,0.6634675161871965,0.3020833333333333
seed_327,1.2852522983551025,30.5,-0.9572090764495281,0.625,0.6402167102696482,0.19791666666666666
seed_382,1.227878119468689,25.5,-0.9039907549549614,0.5833333333333334,0.6657532465832211,0.3020833333333333
seed_451,1.223470404624939,25.5,-0.9040102640799984,0.5833333333333334,0.6642250734706163,0.3020833333333333
seed_522,1.2234483032226562,25.5,-0.903874960509155,0.5833333333333334,0.6641193791217768,0.3020833333333333
seed_218,1.2976208624839782,28.5,-0.9397307524201987,0.7083333333333334,0.6617912985445402,0.23958333333333334
seed_787,1.2961730632781983,30.5,-0.9592336627793201,0.625,0.659418974342758,0.19791666666666666
seed_436,1.224370635509491,25.5,-0.9041627793917463,0.5833333333333334,0.6646506838175846,0.3020833333333333
seed_764,1.1949872260093688,37.0,-0.9802525270056225,0.20833333333333334,0.6227129452974194,0.0625
seed_88,1.3075328307151795,30.0,-0.9607307542382861,0.6666666666666666,0.6597845651969495,0.20833333333333334
seed_63,1.1956043586730958,37.0,-0.9795070341531986,0.20833333333333334,0.6457167376915425,0.0625
seed_826,1.3137738618850707,29.5,-0.9610923593394803,0.7083333333333334,0.6588500840192646,0.21875
