time,energy_cashflow,energy_generation_costs,heat,power,simulation,unit
2019-01-01 03:00:00,-4.3074e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 03:00:00,71789,18000,0,1000,base_op_base,pp_3
2019-01-01 03:00:00,35895,12000,0,500,base_op_base,pp_5
2019-01-01 04:00:00,,0,0,0,base_op_base,Solar
2019-01-01 04:00:00,71732,12000,0,1000,base_op_base,pp_1
2019-01-01 04:00:00,71732,12000,0,1000,base_op_base,pp_2
2019-01-01 04:00:00,71732,24000,0,1000,base_op_base,pp_4
2019-01-01 04:00:00,35866,27000,0,500,base_op_base,pp_7
2019-01-01 04:00:00,35866,27000,0,500,base_op_base,pp_8
2019-01-01 04:00:00,35866,27000,0,500,base_op_base,pp_9
2019-01-01 04:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 04:00:00,-4.3039e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 04:00:00,71732,18000,0,1000,base_op_base,pp_3
2019-01-01 04:00:00,35866,12000,0,500,base_op_base,pp_5
2019-01-01 05:00:00,,0,0,0,base_op_base,Solar
2019-01-01 05:00:00,71607,12000,0,1000,base_op_base,pp_1
2019-01-01 05:00:00,71607,12000,0,1000,base_op_base,pp_2
2019-01-01 05:00:00,71607,24000,0,1000,base_op_base,pp_4
2019-01-01 05:00:00,35804,27000,0,500,base_op_base,pp_7
2019-01-01 05:00:00,35804,27000,0,500,base_op_base,pp_8
2019-01-01 05:00:00,35804,27000,0,500,base_op_base,pp_9
2019-01-01 05:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 05:00:00,-4.2964e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 05:00:00,71607,18000,0,1000,base_op_base,pp_3
2019-01-01 05:00:00,35804,12000,0,500,base_op_base,pp_5
2019-01-01 06:00:00,,0,0,0,base_op_base,Solar
2019-01-01 06:00:00,71219,12000,0,1000,base_op_base,pp_1
2019-01-01 06:00:00,71219,12000,0,1000,base_op_base,pp_2
2019-01-01 06:00:00,71219,24000,0,1000,base_op_base,pp_4
2019-01-01 06:00:00,35610,27000,0,500,base_op_base,pp_7
2019-01-01 06:00:00,35610,27000,0,500,base_op_base,pp_8
2019-01-01 06:00:00,35610,27000,0,500,base_op_base,pp_9
2019-01-01 06:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 06:00:00,-4.2732e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 06:00:00,71219,18000,0,1000,base_op_base,pp_3
2019-01-01 06:00:00,35610,12000,0,500,base_op_base,pp_5
2019-01-01 07:00:00,,0,0,0,base_op_base,Solar
2019-01-01 07:00:00,54000,12000,0,1000,base_op_base,pp_1
2019-01-01 07:00:00,54000,12000,0,1000,base_op_base,pp_2
2019-01-01 07:00:00,54000,24000,0,1000,base_op_base,pp_4
2019-01-01 07:00:00,27000,27000,0,500,base_op_base,pp_7
2019-01-01 07:00:00,27000,27000,0,500,base_op_base,pp_8
2019-01-01 07:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 07:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 07:00:00,-3.24e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 07:00:00,54000,18000,0,1000,base_op_base,pp_3
2019-01-01 07:00:00,54000,24000,0,1000,base_op_base,pp_5
2019-01-01 08:00:00,,0,0,500,base_op_base,Solar
2019-01-01 08:00:00,54000,12000,0,1000,base_op_base,pp_1
2019-01-01 08:00:00,54000,12000,0,1000,base_op_base,pp_2
2019-01-01 08:00:00,54000,24000,0,1000,base_op_base,pp_4
2019-01-01 08:00:00,27000,27000,0,500,base_op_base,pp_7
2019-01-01 08:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 08:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 08:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 08:00:00,-3.24e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 08:00:00,54000,18000,0,1000,base_op_base,pp_3
2019-01-01 08:00:00,54000,24000,0,1000,base_op_base,pp_5
2019-01-01 09:00:00,51119,0,0,1000,base_op_base,Solar
2019-01-01 09:00:00,51119,12000,0,1000,base_op_base,pp_1
2019-01-01 09:00:00,51119,12000,0,1000,base_op_base,pp_2
2019-01-01 09:00:00,51119,24000,0,1000,base_op_base,pp_4
2019-01-01 09:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 09:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 09:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 09:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 09:00:00,-3.0672e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 09:00:00,51119,18000,0,1000,base_op_base,pp_3
2019-01-01 09:00:00,51119,24000,0,1000,base_op_base,pp_5
2019-01-01 10:00:00,51492,0,0,1000,base_op_base,Solar
2019-01-01 10:00:00,51492,12000,0,1000,base_op_base,pp_1
2019-01-01 10:00:00,51492,12000,0,1000,base_op_base,pp_2
2019-01-01 10:00:00,51492,24000,0,1000,base_op_base,pp_4
2019-01-01 10:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 10:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 10:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 10:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 10:00:00,-3.0895e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 10:00:00,51492,18000,0,1000,base_op_base,pp_3
2019-01-01 10:00:00,51492,24000,0,1000,base_op_base,pp_5
2019-01-01 11:00:00,51686,0,0,1000,base_op_base,Solar
2019-01-01 11:00:00,51686,12000,0,1000,base_op_base,pp_1
2019-01-01 11:00:00,51686,12000,0,1000,base_op_base,pp_2
2019-01-01 11:00:00,51686,24000,0,1000,base_op_base,pp_4
2019-01-01 11:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 11:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 11:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 11:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 11:00:00,-3.1011e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 11:00:00,51686,18000,0,1000,base_op_base,pp_3
2019-01-01 11:00:00,51686,24000,0,1000,base_op_base,pp_5
2019-01-01 12:00:00,48000,0,0,4000,base_op_base,Solar
2019-01-01 12:00:00,12000,12000,0,1000,base_op_base,pp_1
2019-01-01 12:00:00,12000,12000,0,1000,base_op_base,pp_2
2019-01-01 12:00:00,0,0,0,0,base_op_base,pp_4
2019-01-01 12:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 12:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 12:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 12:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 12:00:00,-72000,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 12:00:00,0,0,0,0,base_op_base,pp_3
2019-01-01 12:00:00,0,0,0,0,base_op_base,pp_5
2019-01-01 13:00:00,48000,0,0,4000,base_op_base,Solar
2019-01-01 13:00:00,12000,12000,0,1000,base_op_base,pp_1
2019-01-01 13:00:00,12000,12000,0,1000,base_op_base,pp_2
2019-01-01 13:00:00,0,0,0,0,base_op_base,pp_4
2019-01-01 13:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 13:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 13:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 13:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 13:00:00,-72000,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 13:00:00,0,0,0,0,base_op_base,pp_3
2019-01-01 13:00:00,0,0,0,0,base_op_base,pp_5
2019-01-01 14:00:00,48000,0,0,4000,base_op_base,Solar
2019-01-01 14:00:00,12000,12000,0,1000,base_op_base,pp_1
2019-01-01 14:00:00,12000,12000,0,1000,base_op_base,pp_2
2019-01-01 14:00:00,0,0,0,0,base_op_base,pp_4
2019-01-01 14:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 14:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 14:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 14:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 14:00:00,-72000,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 14:00:00,0,0,0,0,base_op_base,pp_3
2019-01-01 14:00:00,0,0,0,0,base_op_base,pp_5
2019-01-01 15:00:00,72000,0,0,3000,base_op_base,Solar
2019-01-01 15:00:00,24000,12000,0,1000,base_op_base,pp_1
2019-01-01 15:00:00,24000,12000,0,1000,base_op_base,pp_2
2019-01-01 15:00:00,24000,24000,0,1000,base_op_base,pp_4
2019-01-01 15:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 15:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 15:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 15:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 15:00:00,-1.44e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 15:00:00,0,0,0,0,base_op_base,pp_3
2019-01-01 15:00:00,0,0,0,0,base_op_base,pp_5
2019-01-01 16:00:00,72000,0,0,3000,base_op_base,Solar
2019-01-01 16:00:00,24000,12000,0,1000,base_op_base,pp_1
2019-01-01 16:00:00,24000,12000,0,1000,base_op_base,pp_2
2019-01-01 16:00:00,24000,24000,0,1000,base_op_base,pp_4
2019-01-01 16:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 16:00:00,0,0,0,0,base_op_base,pp_8
2019-01-01 16:00:00,0,0,0,0,base_op_base,pp_9
2019-01-01 16:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 16:00:00,-1.44e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 16:00:00,0,0,0,0,base_op_base,pp_3
2019-01-01 16:00:00,0,0,0,0,base_op_base,pp_5
2019-01-01 17:00:00,1.0113e+05,0,0,2000,base_op_base,Solar
2019-01-01 17:00:00,50564,12000,0,1000,base_op_base,pp_1
2019-01-01 17:00:00,50564,12000,0,1000,base_op_base,pp_2
2019-01-01 17:00:00,50564,24000,0,1000,base_op_base,pp_4
2019-01-01 17:00:00,0,0,0,0,base_op_base,pp_7
2019-01-01 17:00:00,0,0,0,0,base_op_base,pp_8
