,datetime,market_id,power,simulation,unit_id
22095,2019-01-18 21:00:00,EOM,1120,germany_mc_base_case_2019,NEURATH F
22096,2019-01-18 21:00:00,EOM,1120,germany_mc_base_case_2019,NEURATH G
22097,2019-01-18 21:00:00,EOM,1012,germany_mc_base_case_2019,NIEDERAUSSEM K
22098,2019-01-18 21:00:00,EOM,620,germany_mc_base_case_2019,NIEDERAUSSEM G
22099,2019-01-18 21:00:00,EOM,620,germany_mc_base_case_2019,NIEDERAUSSEM H
22100,2019-01-18 21:00:00,EOM,600,germany_mc_base_case_2019,NEURATH D
22101,2019-01-18 21:00:00,EOM,600,germany_mc_base_case_2019,WEISWEILER H
22102,2019-01-18 21:00:00,EOM,600,germany_mc_base_case_2019,NEURATH E
22103,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,NEURATH C
22104,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,NEURATH B
22105,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,NEURATH A
22106,2019-01-18 21:00:00,EOM,600,germany_mc_base_case_2019,WEISWEILER G
22107,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,FRIMMERSDORF Q
22108,2019-01-18 21:00:00,EOM,315,germany_mc_base_case_2019,NIEDERAUSSEM E
22109,2019-01-18 21:00:00,EOM,320,germany_mc_base_case_2019,NIEDERAUSSEM F
22110,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,WEISWEILER E
22111,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,FRIMMERSDORF P
22112,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,NIEDERAUSSEM D
22113,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,WEISWEILER F
22114,2019-01-18 21:00:00,EOM,335,germany_mc_base_case_2019,NIEDERAUSSEM C
22115,2019-01-18 21:00:00,EOM,820,germany_mc_base_case_2019,WESTFALEN E
22116,2019-01-18 21:00:00,EOM,201,germany_mc_base_case_2019,FRECHEN WACHTBERG
22117,2019-01-18 21:00:00,EOM,670,germany_mc_base_case_2019,GERSTEINWERK BLOCK K
22118,2019-01-18 21:00:00,EOM,808,germany_mc_base_case_2019,IBBENBUEREN B NO 1
22119,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,EMSLAND LINGEN D
22120,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,HKW HOECHST BUSINESS PARK
22121,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,DORMAGEN RWE
22122,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,EMSLAND LINGEN C
22123,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,EMSLAND LINGEN B
22124,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,GERSTEINWERK BLOCK F
22125,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,GERSTEINWERK BLOCK G
22126,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,KW WEISWEILER VGT BLOCK H
22127,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,KW WEISWEILER VGT BLOCK G
22128,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,GERSTEINWERK BLOCK I GT
22129,2019-01-18 21:00:00,EOM,30,germany_mc_base_case_2019,KW HANNOVER HERRENHAUSEN B
22130,2019-01-18 21:00:00,EOM,300,germany_mc_base_case_2019,GKH HANNOVER
22131,2019-01-18 21:00:00,EOM,310,germany_mc_base_case_2019,MEHRUM
22132,2019-01-18 21:00:00,EOM,100,germany_mc_base_case_2019,HKW HANNOVER LINDEN
22133,2019-01-18 21:00:00,EOM,17,germany_mc_base_case_2019,KARLSRUHE WEST 3
